year_month,profit,trades,avg_r,total_r,wins,win_rate,cumulative_profit
2024-01,-11.797002917284408,1,-0.5605714839352838,-0.5605714839352838,0.0,0.0,-11.797002917284408
2024-02,21.99459278373346,1,0.8121491921987087,0.8121491921987087,1.0,1.0,10.197589866449052
2024-05,15.96332423269687,2,0.26921410932895806,0.5384282186579161,2.0,1.0,26.16091409914592
2024-06,10.39426776720371,1,0.16714193569380104,0.16714193569380104,1.0,1.0,36.55518186634963
2024-07,1.9635705444927225,1,0.1726759168498293,0.1726759168498293,1.0,1.0,38.51875241084235
2024-12,16.673273053996564,1,0.49387366406879235,0.49387366406879235,1.0,1.0,55.19202546483892
